text,language,source
malāpakarṣaṇārthāya $ taddhi snānaṃ prakīrtitam &,Sanskrit,GRETIL
kṣurasnānam,Sanskrit,GRETIL
evameva kṣurasnānaṃ % karmāyogyaṃ pracakṣate // Ang_1.255 //,Sanskrit,GRETIL
kṣurasnānātparaṃ yastu $ punaḥ snānāntaraṃ vinā &,Sanskrit,GRETIL
karoti vaidikaṃ karma % na tatphalamavāpnuyāt // Ang_1.256 //,Sanskrit,GRETIL
bhavedapi pratyavāyī $ tathāto nācaredbudhaḥ &,Sanskrit,GRETIL
prātaḥsāyaṃparvādiṣvabhyañjanasnānam,Sanskrit,GRETIL
nābhyañjanaṃ prakurvīta % prātaḥsāyaṃ na parvasu // Ang_1.257 //,Sanskrit,GRETIL
grahaṇe śrāddhakāleṣu $ vrateṣu nikhileṣvapi &,Sanskrit,GRETIL
puṇyavaidikadīkṣāsu % na naktaṃ kṣetratīrthayoḥ // Ang_1.258 //,Sanskrit,GRETIL
suptvā bhuktvā ruditvā vā $ dūraṃ gatvā pipāsitaḥ &,Sanskrit,GRETIL
atikṣudhāturo rogī % na kurvīta kathaṃcana // Ang_1.259 //,Sanskrit,GRETIL
akṛtvā nityakarmāṇi $ chardayitvātitāḍitaḥ &,Sanskrit,GRETIL
śaptaḥ śapitvā vyājena % ghātayitvā narān parān // Ang_1.260 //,Sanskrit,GRETIL
hṛtvā dhanāni dīnānāṃ $ na kuryāttattu sarvadā &,Sanskrit,GRETIL
svajanān preṣayitvā ca % nyakkṛtya gurubāndhavān // Ang_1.261 //,Sanskrit,GRETIL
tadavaśyakakṛtyeṣu $ kartavyatvena śāstrataḥ &,Sanskrit,GRETIL
mahatsūpasthiteṣveva % tānyakṛtvaiva maurkhyataḥ // Ang_1.262 //,Sanskrit,GRETIL
na kuryādeva sahasā $ vigrahodvartanaṃ dvijaḥ &,Sanskrit,GRETIL
abhyañjanasnānaṃ sodakumbhanāndīśrāddhayoḥ,Sanskrit,GRETIL
sodakumbhaśrāddhamātraṃ % kṛtvābhyañjanataḥ param // Ang_1.263 //,Sanskrit,GRETIL
kuryādeveti hārīto $ naivāneneti vai manuḥ &,Sanskrit,GRETIL
snātasnānena kurvīta % na śrāddhāni kadācana // Ang_1.264 //,Sanskrit,GRETIL
nāndiṃ tābhyāṃ prakurvītā- $ -nukalpenaiva tatsmṛtam &,Sanskrit,GRETIL
snānamabhyañjanaṃ snānam % aśaktasya kadācana // Ang_1.265 //,Sanskrit,GRETIL
sodakumbhasya nāndyāśca $ kartuḥ saṃpadyate kila &,Sanskrit,GRETIL
krośasthitanadīsnānācchrāddham,Sanskrit,GRETIL
krośasthitanadīsnānān % na pitroḥ śrāddhamācaret // Ang_1.266 //,Sanskrit,GRETIL
mahādavabhṛthāccāpi $ śāvādvārṣāvagāhataḥ &,Sanskrit,GRETIL
tadaṅgasnānataḥ sadyaḥ % śrāddhākhyaṃ karma taccaret // Ang_1.267 //,Sanskrit,GRETIL
saṃkalpaḥ,Sanskrit,GRETIL
karmamātrasya sarvatra $ prāṇānāyamya mantrataḥ &,Sanskrit,GRETIL
kariṣya iti vāgukti- % rūpaṃ saṃkalpamācaret // Ang_1.268 //,Sanskrit,GRETIL
na saṃkalpaṃ vinā karma $ nityakāmyādikaṃ caret &,Sanskrit,GRETIL
sa mānasaḥ syātsaṃkalpaḥ % kartavyo vācikaḥ paraḥ // Ang_1.269 //,Sanskrit,GRETIL
yasya ityetadvākyena $ tathā prāha śrutiḥ śivā &,Sanskrit,GRETIL
deśaḥ kālaśca saṃkalpe % vaktavyau tatra cetpunaḥ // Ang_1.270 //,Sanskrit,GRETIL
tithiḥ kāla iti prokto $ vyatyāse tasya karma tat &,Sanskrit,GRETIL
naṣṭameva bhavetsadyas % tasmāttattu punaścaret // Ang_1.271 //,Sanskrit,GRETIL
pitṛśrāddhavyatyāse punaścaret,Sanskrit,GRETIL
ekasminneva divase $ pitroḥ śrāddhamupasthitam &,Sanskrit,GRETIL
tatkrameṇaiva kartavyaṃ % vyatyāse tu punaścaret // Ang_1.272 //,Sanskrit,GRETIL
mohādataddinakṛta- $ śrāddhaṃ cāpi punaścaret &,Sanskrit,GRETIL
śūnyatithikṛtaṃ punaścaret,Sanskrit,GRETIL
tathā śūnyatithau yatnāt % kṛtaṃ cāpi punaścaret // Ang_1.273 //,Sanskrit,GRETIL
sūtakānte śūnyatithi- $ doṣo 'yaṃ śrāddhakarmaṇaḥ &,Sanskrit,GRETIL
kadācinna bhavatyeva % tasmāttatraiva taccaret // Ang_1.274 //,Sanskrit,GRETIL
pitṛśrāddhātparaṃ kāruṇyaśrāddham,Sanskrit,GRETIL
pituḥ śrāddhātparaṃ śrāddhaṃ $ kāruṇyānāṃ samācaret &,Sanskrit,GRETIL
tadanyathākṛtaṃ taccet % paredyustatpunaścaret // Ang_1.275 //,Sanskrit,GRETIL
nimittagrahaṇaśrāddhaṃ $ kṛtvānnenāpi taddinam &,Sanskrit,GRETIL
bhūyaḥ samyak prakurvīta % bhissayaiva na cānyathā // Ang_1.276 //,Sanskrit,GRETIL
mātṛpitṛśrāddhamekadine 'nnena,Sanskrit,GRETIL
pitrormṛtāhaṃ satatam $ api kṛcchragato naraḥ &,Sanskrit,GRETIL
annenaiva prakurvīta % nāmādyena kadācana // Ang_1.277 //,Sanskrit,GRETIL
grahaṇādiṣu śaktaśced $ bhissayā tāni cācaret &,Sanskrit,GRETIL
na cedāmādinā śuddhas % taddharmairakhilairvṛtaḥ // Ang_1.278 //,Sanskrit,GRETIL
grahe muhūrtadvitaye $ gate 'nnaśrāddhamācaret &,Sanskrit,GRETIL
api śakto 'pi tannyūne % tādṛk chrāddhaṃ na cācaret // Ang_1.279 //,Sanskrit,GRETIL
cākrikaśrāddham,Sanskrit,GRETIL
cākrikaṃ grahaṇaṃ mukhyam $ āyanaṃ tadamukhyakam &,Sanskrit,GRETIL
puṣpavanmaṇḍalasama- % madhyabhāgaprapīḍitam // Ang_1.280 //,Sanskrit,GRETIL
yannīlalakṣmapṛthulaṃ $ vartulaṃ tattriyāmagam &,Sanskrit,GRETIL
taccākrikamiti proktaṃ % grahaṇaṃ pitṛtṛptidam // Ang_1.281 //,Sanskrit,GRETIL
tacca pañcaśatābdānām $ ekadā vai bhaviṣyati &,Sanskrit,GRETIL
"grahaṇaṃ bhojananiṣedhaḥ, bṛddhabālāturāṇāṃ na",Sanskrit,GRETIL
grahasya cākrikasyāsya % pūrvaṃ yāmatrayaṃ naraiḥ // Ang_1.282 //,Sanskrit,GRETIL
bhojanaṃ naiva kartavyaṃ $ bṛddhabālāturānvinā &,Sanskrit,GRETIL
aparāhne na madhyāhne % madhyāhne na tu saṃgave // Ang_1.283 //,Sanskrit,GRETIL
saṃgave tu na tu prātaḥ $ pṛthukānāṃ tu kevalam &,Sanskrit,GRETIL
stanyapāne na doṣo 'sti % tatkāle kevale 'pi vā // Ang_1.284 //,Sanskrit,GRETIL
yavāgvāḥ payaso vāpi $ pānīyasyāśaratsamam &,Sanskrit,GRETIL
niyamo 'yaṃ prakathito % na tadūrdhvaṃ tu taccaret // Ang_1.285 //,Sanskrit,GRETIL
ayanagrahaṇe mukhye $ paunaḥpunyagate sakṛt &,Sanskrit,GRETIL
koṇaikadeśasaṃspṛṣṭe % tannyūnasamayasthite // Ang_1.286 //,Sanskrit,GRETIL
yāmadvayaṃ sārdhayāma- $ dvayaṃ yāmatrayaṃ tathā &,Sanskrit,GRETIL
sārdhayāmatrayaṃ yāma- % catuṣṭayamiti kramāt // Ang_1.287 //,Sanskrit,GRETIL
adhikāraprabhedena $ bhojanasya nirūpaṇam &,Sanskrit,GRETIL
yadetattasya sarvasya % pravadāmi vinirṇayam // Ang_1.288 //,Sanskrit,GRETIL
tatkālājīrṇarāhitye $ hṛdayaṃ tannibodhata &,Sanskrit,GRETIL
evaṃ sthitaṃ punarvacmi % yāmataḥ sārdhayāmataḥ // Ang_1.289 //,Sanskrit,GRETIL
jīrṇaśaktimato nuścet $ tatkāle kṣudbhavedyadi &,Sanskrit,GRETIL
na doṣaḥ kathitaḥ sadbhiḥ % kadāciddaivayogataḥ // Ang_1.290 //,Sanskrit,GRETIL
ajīrṇaḥ syāttadā doṣaḥ $ sumahān prabhavedapi &,Sanskrit,GRETIL
tasmādyāmadvayaṃ sarvair % bhuktistyājyā vicakṣaṇaiḥ // Ang_1.291 //,Sanskrit,GRETIL
atyantāturādīnām,Sanskrit,GRETIL
viśeṣaḥ ko 'pi bhūyaśca $ procyate sumahān paraḥ &,Sanskrit,GRETIL
rogiṇo 'pyatimātrasya % cauṣadhātikṣudaśnataḥ // Ang_1.292 //,Sanskrit,GRETIL
krūragrahātitaptasya $ piśācāveśinastathā &,Sanskrit,GRETIL
vaśyākarṣaṇavidveṣa- % stambhanoccāṭanādibhiḥ // Ang_1.293 //,Sanskrit,GRETIL
pīḍitasya viśeṣeṇa $ mūrchitasyātitāḍanaiḥ &,Sanskrit,GRETIL
tatkālabhakṣaṇamapi % na duṣyati kadācana // Ang_1.294 //,Sanskrit,GRETIL
atyutkrāntipravṛttasya $ ciratyaktāndhasastathā &,Sanskrit,GRETIL
aprāśanotpannamṛti- % saṃśayasya viśeṣataḥ // Ang_1.295 //,Sanskrit,GRETIL
tatkālabhakṣaṇāvṛttir $ na doṣāya bhavedayam &,Sanskrit,GRETIL
sarveṣāmapi varṇānāṃ % sarvāśramanivāsinām // Ang_1.296 //,Sanskrit,GRETIL
mukhyo sādhāraṇo dharmas $ tatkālājīrṇaśūnyatā &,Sanskrit,GRETIL
yāmatrayādikāḥ kālās % tatra tatra pracoditāḥ // Ang_1.297 //,Sanskrit,GRETIL
taistaiste nikhilā jñeyā $ nṛbhedena vivakṣitāḥ &,Sanskrit,GRETIL
grastāstake sakāminiṣkāminoḥ,Sanskrit,GRETIL
somaṃ grastāstagaṃ sūryam % api vā śāstradṛṣṭitaḥ // Ang_1.298 //,Sanskrit,GRETIL
muktaṃ jñātvā tataḥ snātvā $ niṣkāmo bhojanaṃ caret &,Sanskrit,GRETIL
śubhrāṃśucaṇḍāṃśuloka- % kāmī cenna tu bhojanam // Ang_1.299 //,Sanskrit,GRETIL
caredeva na saṃdehas $ tallokākāminaḥ param &,Sanskrit,GRETIL
doṣāya bhojanatyāga % evamāha prajāpatiḥ // Ang_1.300 //,Sanskrit,GRETIL
agnihotram,Sanskrit,GRETIL
vihitasya parityāgād $ agnihotrasvarūpiṇaḥ &,Sanskrit,GRETIL
pītamātṛstanaraso % janakāśaucamocane // Ang_1.301 //,Sanskrit,GRETIL
sahiṣṇurna bhavettasmāt $ tatpūrvaṃ tatsamācaret &,Sanskrit,GRETIL
dattaputraḥ,Sanskrit,GRETIL
ārānnyak sodarasutas % tarṇakaḥ karmavarjitaḥ // Ang_1.302 //,Sanskrit,GRETIL
kṛtakarmatrayakṛto $ yo dattaḥ pravaraḥ smṛtaḥ &,Sanskrit,GRETIL
mātāpitṛbhyāṃ dānaṃ grahaṇaṃ ca,Sanskrit,GRETIL
dadyātāṃ dampatī putraṃ % gṛhṇīyātāṃ ca dampatī // Ang_1.303 //,Sanskrit,GRETIL
tayorevādhikāro 'yaṃ $ taddāne tatpratigrahe &,Sanskrit,GRETIL
brāhmaṇānāṃ sapiṇḍeṣu % kartavyaḥ putrasaṃgrahaḥ // Ang_1.304 //,Sanskrit,GRETIL
sagotreṣvathavā kāryo hy $ anyatra tu na kārayet &,Sanskrit,GRETIL
asaṃskṛto dattasūnuḥ % pituścāpyakṛtakriyaḥ // Ang_1.305 //,Sanskrit,GRETIL
na taddhanamavāpnoti $ tadvṛttau kā kathā punaḥ &,Sanskrit,GRETIL
jātakarmādinā tasya % putratvaṃ nānyathā matam // Ang_1.306 //,Sanskrit,GRETIL
mauñjyantenātiharṣeṇa $ sarvamatyā samantrataḥ &,Sanskrit,GRETIL
putro jñātimato dattaḥ % kṛtasarvapitṛkriyaḥ // Ang_1.307 //,Sanskrit,GRETIL
yadi svayaṃ tadā sarvāṃ $ tadvṛttiṃ labhate parām &,Sanskrit,GRETIL
sarvasya pratimantrasya % pitṛhetuprapāṭhanāt // Ang_1.308 //,Sanskrit,GRETIL
dattasya tadbhūlābhaḥ syāt $ tatpūrvaṃ sā na sidhyati &,Sanskrit,GRETIL
hiraṇyakakṣyāmantrāṇāṃ % paṭhanāttattrayaṃ punaḥ // Ang_1.309 //,Sanskrit,GRETIL
pradūrīkṛtya tajjñātīn $ avaśādeti cākhilam &,Sanskrit,GRETIL
dattasūnuḥ pitrānyena % saṃskṛto yadi tadvṛtaḥ // Ang_1.310 //,Sanskrit,GRETIL
tadā tu taddhanaṃ sarvaṃ $ jñātisādhāraṇaṃ bhavet &,Sanskrit,GRETIL
svayameva piturdattaḥ % karma kuryātprayatnataḥ // Ang_1.311 //,Sanskrit,GRETIL
taddhanaṃ tu na cetsadyas $ tajjñātigatameva vai &,Sanskrit,GRETIL
datto 'yamasagotraścet % sadā durbala eva vai // Ang_1.312 //,Sanskrit,GRETIL
bhavedeva na saṃdehaḥ $ śāstre 'mutra paratra ca &,Sanskrit,GRETIL
yadi jāmī tatra bhavet % tanmukhaṃ nāvalokayet // Ang_1.313 //,Sanskrit,GRETIL
avaśyaṃ putrasaṃgrahaḥ kartavyaḥ,Sanskrit,GRETIL
yathākathaṃcitputrasya $ saṃgrahaḥ kārya eva vai &,Sanskrit,GRETIL
daurbalye svasya saṃjāte % dharmajñena mahātmanā // Ang_1.314 //,Sanskrit,GRETIL
jalabudbudasaṃkāśaṃ $ varṣmaitatkathitaṃ budhaiḥ &,Sanskrit,GRETIL
na hi pramāṇaṃ jantūnām % uttarakṣaṇajīvane // Ang_1.315 //,Sanskrit,GRETIL
tasmādātmahitaṃ nityaṃ $ cintayanneva taccaret &,Sanskrit,GRETIL
aputrasya loko nāsti,Sanskrit,GRETIL
nāputrasya tu loko 'sti % putriṇastu triviṣṭapam // Ang_1.316 //,Sanskrit,GRETIL
brahmalokādayo lokāḥ $ svādhīnā eva sarvadā &,Sanskrit,GRETIL
putravānagnimān,Sanskrit,GRETIL
putravānagnimānnityaṃ % putravān śrotriyaḥ smṛtaḥ // Ang_1.317 //,Sanskrit,GRETIL
putrī sākṣādbrahmavicca $ putravāneva bhāgyavān &,Sanskrit,GRETIL
ye ye dharmāḥ svena te te % putreṇaitena tatkṣaṇāt // Ang_1.318 //,Sanskrit,GRETIL
saṃpāditā bhaviṣyanti $ nātra kāryā vicāraṇā &,Sanskrit,GRETIL
na putravānapatnīkaḥ % kiṃ tu so 'yamaputravān // Ang_1.319 //,Sanskrit,GRETIL
anagniko na putrī syād $ aputro 'nagnimān smṛtaḥ &,Sanskrit,GRETIL
putreṇa sthāvaraṃ dānaṃ % phalavaddānameva ca // Ang_1.320 //,Sanskrit,GRETIL
yadyalloke mahatsarvair $ durlabhaṃ putriṇī caret &,Sanskrit,GRETIL
putrayatraṃ sadā kuryād % vaidikaṃ laukikaṃ śubham // Ang_1.321 //,Sanskrit,GRETIL
tasmādṛtumatīṃ bhāryāṃ $ sadā svastho na laṅghayet &,Sanskrit,GRETIL
laṅghayedyadi tāṃ mūḍho % bhrūṇahatyāmavāpnuyāt // Ang_1.322 //,Sanskrit,GRETIL
ṛtusnātadine so 'yaṃ $ yuvā śrotriya eva vā &,Sanskrit,GRETIL
na kavyāya bhavedeva % putravān yadi tadbhavet // Ang_1.323 //,Sanskrit,GRETIL
jātamātre putramukhavīkṣaṇam,Sanskrit,GRETIL
putreṇa jātamātreṇa $ ṛṇānmukto bhavedayam &,Sanskrit,GRETIL
tasmātputrasya jātasya % paśyetsadyo mukhaṃ pumān // Ang_1.324 //,Sanskrit,GRETIL
na paśyatastallapanam $ ṛṇānmuktirna jāyate &,Sanskrit,GRETIL
yena kena prakāreṇa % tasmātkurvīta mānavaḥ // Ang_1.325 //,Sanskrit,GRETIL
putrasaṃpādanaṃ dhīmān $ durbalaścedviśeṣataḥ &,Sanskrit,GRETIL
vṛttidattādayaḥ,Sanskrit,GRETIL
vṛttidattaṃ kalpayedvā % mauñjīdattamathāpi vā // Ang_1.326 //,Sanskrit,GRETIL
vivāhadattamathavā $ yajñadattaṃ na cetparam &,Sanskrit,GRETIL
vṛttidattaḥ kulānyaṣṭau % mauñjīdattastu ṣoḍaśa // Ang_1.327 //,Sanskrit,GRETIL
vivāhadatto dvātriṃśad- $ yajñadattastariṣyati &,Sanskrit,GRETIL
catuḥṣaṣṭikulānyasya % līlayā sadya eva vai // Ang_1.328 //,Sanskrit,GRETIL
aputradattavṛtyā yaḥ $ prāṇavṛttiṃ caratyalam &,Sanskrit,GRETIL
vṛttidatta iti khyātas % tanayaḥ puṇyalokakṛt // Ang_1.329 //,Sanskrit,GRETIL
dhanato yasya yo loke hy $ upanīto bhavedaho &,Sanskrit,GRETIL
sa mauñjidatta ityākhyas % tanayastu tato 'dhikaḥ // Ang_1.330 //,Sanskrit,GRETIL
evameva bhavedanyas $ tanayaḥ paralokadaḥ &,Sanskrit,GRETIL
vivāhadattasaṃjñaḥ syāt % tato 'pi dviguṇaḥ paraḥ // Ang_1.331 //,Sanskrit,GRETIL
tato 'dhiko yajñadattas $ tanayaḥ pitṛvallabhaḥ &,Sanskrit,GRETIL
ta ete tanayāḥ sarve % tattatkarmaikapūrtaye // Ang_1.332 //,Sanskrit,GRETIL
kṛtena dhanadānena $ bhavanti kila nānyathā &,Sanskrit,GRETIL
tasmātsantaḥ kilaiteṣāṃ % karmaṇāmekato dhanam // Ang_1.333 //,Sanskrit,GRETIL
na gṛhṇanti mahātmāno $ paralokadidṛkṣavaḥ &,Sanskrit,GRETIL
kaṇaśaḥ kaṇaśaḥ sadbhyaḥ % pratigṛhya tatastataḥ // Ang_1.334 //,Sanskrit,GRETIL
śanaiḥ śanaiśca kālena $ mahatā tāni cācaret &,Sanskrit,GRETIL
evaṃ kṛteṣu teṣveṣu % mahatsu kila karmasu // Ang_1.335 //,Sanskrit,GRETIL
naikasya tanayāste syus $ tasmātteṣu tathācaret &,Sanskrit,GRETIL
anyeṣu sutagrahaṇam,Sanskrit,GRETIL
durlabhe tu sagotreṣu % sapiṇḍeṣu sute yadi // Ang_1.336 //,Sanskrit,GRETIL
sutaṃ bandhuṣu vānyeṣu $ gṛhṇīyādanyajātiṣu &,Sanskrit,GRETIL
savarṇeṣu grahaṇam,Sanskrit,GRETIL
savarṇeṣveva kurvīta % nāsavarṇeṣu tadgraham // Ang_1.337 //,Sanskrit,GRETIL
asavarṇeṣu tatkurvan $ sadyaḥ patati varṇataḥ &,Sanskrit,GRETIL
asagotrasvīkṛtau,Sanskrit,GRETIL
gṛhīta asagotraścet % tanayaḥ puruṣatrayam // Ang_1.338 //,Sanskrit,GRETIL
kṛtārthatāṃ prāpayati $ tatkulaṃ tadanantaram &,Sanskrit,GRETIL
saṃkīrṇamavaśādyāti % yatnataścettariṣyati // Ang_1.339 //,Sanskrit,GRETIL
asagotrastu na grāhyo $ gṛhītuḥ syātsa eva hi &,Sanskrit,GRETIL
datto rikthamavāpnoti % santatirdātureva hi // Ang_1.340 //,Sanskrit,GRETIL
tasmāddattasutaḥ svasva- $ tanayānudbhavān tataḥ &,Sanskrit,GRETIL
janakasyaiva gotre tān % mauñjyāṃ mantraiḥ praveśayet // Ang_1.341 //,Sanskrit,GRETIL
yadi dattasvatanayān $ svagotre na praveśayet &,Sanskrit,GRETIL
dattajo vātha tajjo vā % tadgotradvayajāstu te // Ang_1.342 //,Sanskrit,GRETIL
vivāhe gotradvayatyāgaḥ,Sanskrit,GRETIL
evaṃ satyatra janane $ jātānāṃ pāṇipīḍane &,Sanskrit,GRETIL
samāgate tadā samyag % yatnādgotradvayaṃ tyajet // Ang_1.343 //,Sanskrit,GRETIL
tadgotradvayayuktyartha- $ jñānāya kila tatparam &,Sanskrit,GRETIL
tajjātānāṃ vivāhasya % tadārṣadvayamācaret // Ang_1.344 //,Sanskrit,GRETIL
abhivandanādau dvigotratvam,Sanskrit,GRETIL
nityābhivandane sandhyā- $ vandane kāmyavandane &,Sanskrit,GRETIL
kṛtsnārṣeyaṃ tvekagotre % parasminnapi gotrake // Ang_1.345 //,Sanskrit,GRETIL
svīkṛtyārṣadvayaṃ tena $ yojayitvā tataḥ param &,Sanskrit,GRETIL
ekameva vadedgotram % ekadvitryārṣakaṃ tathā // Ang_1.346 //,Sanskrit,GRETIL
pañcasaptārṣakaṃ vaitan $ navaikādaśakārṣakam &,Sanskrit,GRETIL
gotramekaṃ bhavedevaṃ % trayodaśakamārṣakam // Ang_1.347 //,Sanskrit,GRETIL
evaṃ pañcadaśārṣaṃ ca $ gotraṃ tatprabhavedapi &,Sanskrit,GRETIL
evaṃ jātāni gotrāṇi % dattāvṛttyudbhavāni vai // Ang_1.348 //,Sanskrit,GRETIL
vartante bhūtale tasmād $ gotriṇastānvicārya ca &,Sanskrit,GRETIL
pṛṣṭvā tatsaṃśayastyājya % etāvantyeva bhūtale // Ang_1.349 //,Sanskrit,GRETIL
gotrāṇi śāstrasiddhāni $ caikārṣeyāṇi kānicit &,Sanskrit,GRETIL
dvyārṣeyāṇi tryārṣeyāṇi % pañcārṣeyāṇi santi hi // Ang_1.350 //,Sanskrit,GRETIL
etāvantyeva sarvatra $ śāstrasiddhāni netarat &,Sanskrit,GRETIL
ādyadattaikataddatta- % pāramparyeṇa kevalam // Ang_1.351 //,Sanskrit,GRETIL
dṛśyante brāhmaṇāḥ sapta- $ daśārṣeyāvadhītare &,Sanskrit,GRETIL
dattajādīnāṃ pūrvagotram,Sanskrit,GRETIL
tasmāddattajaputrāstān % pūrvagotre praveśayet // Ang_1.352 //,Sanskrit,GRETIL
vinā praveśaṃ yadi te $ paraṃ prāptaikagotriṇaḥ &,Sanskrit,GRETIL
yadi syurmohataḥ paścāt % pūrvaṃ tajjanakasya ca // Ang_1.353 //,Sanskrit,GRETIL
gotraṃ varjyaṃ vivāhādāv $ evaṃ satyatra kālataḥ &,Sanskrit,GRETIL
ajñātvā pūrvavṛttāntaṃ % gotre tajjanakasya ca // Ang_1.354 //,Sanskrit,GRETIL
vivaheran mahānarthaḥ $ prabhavetkila kevalam &,Sanskrit,GRETIL
pūrvavṛtte 'tha vijñāte % tāṃ tyaktvā mātṛvattu tām // Ang_1.355 //,Sanskrit,GRETIL
pālayedeva dharmeṇa $ paścātkṛcchratrayaṃ caret &,Sanskrit,GRETIL
taddoṣaparihārāya % tatra jātāstu cettataḥ // Ang_1.356 //,Sanskrit,GRETIL
caṇḍāleṣveva niṣkampaṃ $ yojayediti nirṇayaḥ &,Sanskrit,GRETIL
asagotrasutaṃ tasmān % na svīkuryātkathaṃcana // Ang_1.357 //,Sanskrit,GRETIL
buddhimān dharmavitkiṃ tu $ paurvāparyaviśeṣavit &,Sanskrit,GRETIL
sagotreṣveva kurvīta % śāstrataḥ putrasaṃgraham // Ang_1.358 //,Sanskrit,GRETIL
bhrātṛjeṣu na vivāhahomādiḥ,Sanskrit,GRETIL
bhrātṛjeṣu vivāho na $ na svīkāraśca satkriyā &,Sanskrit,GRETIL
na homādiśca kāryo vai % vāṅmātreṇaiva putratā // Ang_1.359 //,Sanskrit,GRETIL
bhrātṛputrādiparigrahaḥ,Sanskrit,GRETIL
bhrātṛputreṣu tiṣṭhatsu $ nānyaṃ jñātijanaṃ tathā &,Sanskrit,GRETIL
na svīkuryāddūragaṃ vā % svīkṛtaścora eva saḥ // Ang_1.360 //,Sanskrit,GRETIL
putragrahaṇakāle tu $ tatpitrormānasaṃ tadā &,Sanskrit,GRETIL
toṣayitvā pradānādyair % bhaviṣyatkālakṛtyakam // Ang_1.361 //,Sanskrit,GRETIL
kṛtvā ca śapathaṃ bāḍhaṃ $ bandhurājādibhirjanaiḥ &,Sanskrit,GRETIL
tatputrasya ca maryādā % caivamityapi vai punaḥ // Ang_1.362 //,Sanskrit,GRETIL
jāte 'pi caurase bhūyaḥ $ karomyevaṃ na saṃśayaḥ &,Sanskrit,GRETIL
dṛḍhayitvā svayaṃ paścāt % svīkuryāttanayaṃ tataḥ // Ang_1.363 //,Sanskrit,GRETIL
na ceddoṣo mahāneva $ bhaviṣyati na saṃśayaḥ &,Sanskrit,GRETIL
svīkṛtyanantaramaurasotpattau,Sanskrit,GRETIL
svīkṛtya paraputraṃ yaḥ % saṃjāte tvaurase punaḥ // Ang_1.364 //,Sanskrit,GRETIL
puroktānyanyathākṛtvā $ mohāttadahitaṃ caran &,Sanskrit,GRETIL
pralapaṃstadduruktāni % mama māstvayamadya vai // Ang_1.365 //,Sanskrit,GRETIL
vadetpāpī mahākrūras $ tena bhūrbhāravatyalam &,Sanskrit,GRETIL
taṃ deśāddhārmiko rājā % tāḍayitvā pravāsayet // Ang_1.366 //,Sanskrit,GRETIL
sarvasvaṃ tasya gṛhṇīyāt $ tasmin janapade na cet &,Sanskrit,GRETIL
na varṣetkila parjanyaḥ % rāṣṭrakṣobho 'pi jāyate // Ang_1.367 //,Sanskrit,GRETIL
putrapradānasamaye yaduktaṃ tatkartavyam,Sanskrit,GRETIL
putrapradānasamaye $ tatpitrorgrāhakeṇa yā &,Sanskrit,GRETIL
vāguktā tāṃ tataḥ kāle % tiraskartuṃ na śakyate // Ang_1.368 //,Sanskrit,GRETIL
tadbandhubhistena rājñā $ tairjanairdātṛdāpakaiḥ &,Sanskrit,GRETIL
tadbhāryābhistattanayair % yena kenāpi vā punaḥ // Ang_1.369 //,Sanskrit,GRETIL
putrapradānasamaye $ proktavākyaṃ tu tatparam &,Sanskrit,GRETIL
alpaṃ mahadaśakyaṃ vā % śakyaṃ vā tanna laṅghayet // Ang_1.370 //,Sanskrit,GRETIL
svakāryāya purā proktvā $ janānāṃ purato dṛḍham &,Sanskrit,GRETIL
icchaṃstadanyathayituṃ % yatate yastu yā jaḍā // Ang_1.371 //,Sanskrit,GRETIL
ūrdhvaṃ lokaṃ na yāto vai $ bhrūṇahatyāmavāpnutaḥ &,Sanskrit,GRETIL
bhartuḥ piturvā vākyātikrame,Sanskrit,GRETIL
svaputrahitamicchantyo % bhartṛvākyaṃ puroditam // Ang_1.372 //,Sanskrit,GRETIL
tiraskurvanti sahasā $ tā vai nirayabhājinaḥ &,Sanskrit,GRETIL
bhartuḥ piturvā yadvākyaṃ % tadā pūrvamudīritam // Ang_1.373 //,Sanskrit,GRETIL
patnī putro 'thavā maurkhyād $ anṛtaṃ maurkhyacoditam &,Sanskrit,GRETIL
duḥśrutaṃ paruṣaṃ krūram % asmatkāryavirodhi tat // Ang_1.374 //,Sanskrit,GRETIL
nāpyakurma svīkaraṇam $ iti vaktḥn durātmanaḥ &,Sanskrit,GRETIL
nyakkṛtya vācā dhikkṛtya % tāḍayitvā kapolayoḥ // Ang_1.375 //,Sanskrit,GRETIL
śīghraṃ pravāsayeddeśāt $ sādhūn samyak prapūjayet &,Sanskrit,GRETIL
bhrātṛputrasvīkṛtau dattasya samāṃśaḥ,Sanskrit,GRETIL
svīkṛtabhrātṛsūnośca % paścājjātaurasasya ca // Ang_1.376 //,Sanskrit,GRETIL
samabhāgaḥ sadā proktas $ tadanyasya punaryadi &,Sanskrit,GRETIL
sagotrasya turīyabhāgaḥ,Sanskrit,GRETIL
turyabhāgaḥ sagotrāder % evamāha pitāmahaḥ // Ang_1.377 //,Sanskrit,GRETIL
auraso vayasā nyūno $ jyeṣṭha eva na saṃśayaḥ &,Sanskrit,GRETIL
naṣṭe tu pālake tāte % svīkṛto vayasādhikaḥ // Ang_1.378 //,Sanskrit,GRETIL
upanītaḥ kalatrī vā $ jātaputro 'thavā yajan &,Sanskrit,GRETIL
yatnācca taṃ nopanayed % datto jātaṃ tadaurasam // Ang_1.379 //,Sanskrit,GRETIL
